Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,None,None,snow_depth[mm],None,snow_water_equivalent[mm]
05/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
06/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
07/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
08/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
09/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
10/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
11/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
12/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
13/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
14/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
15/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
16/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
17/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
18/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
19/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
20/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
21/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
22/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
23/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
24/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
25/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
26/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
27/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
28/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
29/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
30/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
31/07/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
01/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
02/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
03/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
04/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
05/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
06/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
07/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
08/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
09/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
10/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
11/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
12/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
13/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
14/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
15/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
16/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
17/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
18/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
19/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
20/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
21/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
22/08/2015 00:00,2,1,1,-9999,-9999,0.000000,-9999,0.000000
